product_tmpl_id.bigcommerce_product_id,Product Code/SKU,Part Number,Brand Name,Current Stock Level,Product Condition
26175,45264,OHN3140U,OPTEC,50,New
26176,45265,TDA8763M/3,PHILIPS,50,New
57771,45266,XCV600E-6C,Unbranded,0,New
25628,45267,74LVT162244B,PHILIPS,50,New
26177,45268,74LVT244A,PHILIPS,50,New
26178,45269,TBS6416B4E-7G,MT,50,New
26179,45270,KM416V1204CT-5,sam,50,New
79659,45271,MT48LC2M32B2TG-8D,MT,50,New
26180,45272,MT28F800B5-8TETD,MT,50,New
26181,45273,XC18V02,3,50,New
14665,45274,HM534253AJ-10,HITACHI,50,New
101715,45275,W29C512AP-90,WIN,50,New
59331,45276,LH28F160S5T-L10A,207,50,New
59332,45277,LH28F160S5T-L10A,207,50,New
59333,45278,LH28F160S5T-L10A,207,50,New
79660,45279,MT48LC2M32B2TG-8D,MT,50,New
11271,45280,104,S+T,50,New
65253,45281,H4R09ST29A,AMP,50,New
26184,45282,NE5234N,PHILIPS,50,New
25431,45283,IRFPS37N50A,SILICO,50,New
24513,45284,TDA6108JF,PHILIPS,50,New
98463,45285,TL7705ACP,TEXAS INTRUMENTS,50,New
26185,45286,IBM38L2881,87,0,New
25700,45287,609-6004,AMP,50,New
26186,45288,F2H-32SRT,AMP,50,New
26187,45289,609-3414E,AMP,50,New
26188,45290,21437057-2,AMP,50,New
26189,45291,I12-210602,AMP,50,New
26190,45292,622-140GESZ044,AMP,50,New
26191,45293,FPH-2602G,AMP,50,New
65182,45294,FPH-1321T,AMP,50,New
26193,45295,609-14400-2,AMP,50,New
26194,45296,FPH-1121T,AMP,50,New
26192,45297,FPH-1321T,AMP,50,New
26195,45298,FPH-2022T,AMP,50,New
65085,45299,8D253 $2.07,AMP,50,New
26197,45300,609-144ES,AMP,0,New
65379,45301,U02-8914-33202,AMP,50,New
65018,45302,609-1424E,AMP,50,New
26200,45303,F2H-18DSG,AMP,50,New
26201,45304,P83C654EFB/125,PHILIPS,0,New
57772,45305,1437069-2,Unbranded,0,New
26202,45306,F2H-32SRG,AMP,50,New
26203,45307,609-34014ES,AMP,50,New
26204,45308,TELE-6005-01G,AMP,50,New
26205,45309,7-1437669-8,AMP,0,New
79258,45310,U820,MOTOROLA,48,New
26206,45311,27-8130,19415,50,New
26207,45312,IDT71V3576S150PF,INTEGRATED DEVICE TECHNOLOGY,50,New
26208,45313,PA274,21482,50,New
26209,45314,16215380,AMP,50,New
26210,45315,KHAU-17D11-24,AMP,50,New
26211,45316,194600,22630,50,New
85470,45317,VF4-15H11-C05,P&B,50,New
26213,45318,FS9N65A,International Rectifier(IR),50,New
72733,45319,2586,International Rectifier(IR),50,New
26215,45320,R10-E2Y2-J5.0K,P&B,0,New
26216,45321,C81005926513,TE Connectivity / Buchanan Bra,50,New
65124,45322,A6D43RA29C,AMP,50,New
65152,45323,C3D36DS29A1,AMP,50,New
26219,45324,P062512,TE Connectivity / Buchanan Bra,50,New
26220,45325,1-1437031-6,AMP,170,New
64983,45326,311-050D072,AMP,0,New
25722,45327,622-4006,AMP,75,New
26222,45328,609-2404E,AMP,50,New
26223,45329,609-3434EP005,AMP,50,New
26224,45330,609-6444ES,AMP,50,New
65046,45331,622-2006,AMP,50,New
26226,45332,KPR-01-2,AMP,50,New
26227,45333,DT2-PTB-25FS12F-RD3-,TE Connectivity / Raychem,50,New
26228,45334,2TK2-4.5,AMP,50,New
65226,45335,FSN-720Z-30,AMP,50,New
26230,45336,U02-8914-33603,AMP,0,New
26231,45337,U02-8914-33602,AMP,0,New
26232,45338,U02-8914-33108,AMP,0,New
26233,45339,71437763-9,AMP,0,New
26234,45340,U02-8914-33011,AMP,0,New
26235,45341,U02-8914-33010,AMP,0,New
26236,45342,U02-8914-33002,AMP,0,New
26237,45343,U02-8914-33004,AMP,0,New
26238,45344,U02-8914-33005,AMP,0,New
26239,45345,U02-8914-33006,AMP,0,New
26240,45346,U02-8914-33012,AMP,0,New
26241,45347,C4D28DS29A1M396,AMP,50,New
26242,45348,M2D4-50-079D-26,AMP,50,New
26243,45349,V02-8914-33206,AMP,50,New
26244,45350,U02-1028501,AMP,50,New
65382,45351,U02-8914-33205,AMP,50,New
92335,45352,C7D36PF29033,TE Connectivity / Buchanan Bra,50,New
58646,45353,AH6522,19537,50,New
26248,45354,KU-6415-3,AMP,50,New
65316,45355,KU-90545,AMP,50,New
25080,45356,TELE-6015-01,AMP,50,New
25161,45357,HDU/HDE-36MB-1,AMP,50,New
26250,45358,W8D60PF29033,AMP,50,New
26251,45359,3-1437262-9,AMP,250,New
26252,45360,JC6-P108-14,AMP,50,New
65378,45361,U02-8914-33109,AMP,50,New
65051,45362,622-5006,AMP,50,New
101130,45363,X8072-A,Unbranded,50,New
26256,45364,VF4-45F11-M02,AMP,50,New
88068,45365,VF7-41H11-S05,SIEMENS,0,New
26258,45366,VF7-41F11-M01 $ 5.65 EA,AMP,50,New
26259,45367,U02-1033102,COAXICON / AMP,50,New
64975,45368,2M37DSM $ 34.65 EA,AMP,7,New
26261,45369,330,MOTOROLA,0,New
26262,45370,VF4-81F11-501,AMP,0,New
26263,45371,42-BU,AMP,50,New
65333,45372,PAIS-110-001,AMP,50,New
65334,45373,PAIS-110-001,AMP,50,New
26265,45374,KH-6522,AMP,50,New
26266,45375,8501RSD34V51,25073,50,New
26267,45376,ZT450048,AMP,50,New
26268,45377,K10-1020-F,AMP,50,New
26269,45378,A6D43RA9C,AMP,50,New
26270,45379,ZT270524,AMP,50,New
26271,45380,VF4M-85F11,SIEMENS,50,New
26272,45381,T7CV5D-12,SIEMENS,0,New
26273,45382,TELE-6007-01,AMP,49,New
25461,45383,MT28M4001VG4.5MBD,MT,50,New
25341,45384,MT48LC8M8A2TG-7EC,MT,50,New
26274,45385,MT55L128V36P1B-6A,MT,50,New
26275,45386,MT58L128L36F1T-7.5A,MT,50,New
25748,45387,MT58L128V32P1T-5A,MT,50,New
26276,45388,MT58L128L36FIT-12A,MT,50,New
79818,45389,MT58L128L36P1T-7.5CA,MT,50,New
25550,45390,MT4LC16M4T8DJ-5F,MT,50,New
26278,45391,MT4C16257DJ-6D,MT,50,New
65735,45392,B104SN,COAXICON / AMP,40,New
26279,45393,L78S75CV,ST Microelectronics,50,New
26280,45394,609-1024,AMP,50,New
65039,45395,622-1016,AMP,50,New
65044,45396,622-1416,AMP,50,New
26281,45397,R10-E6334-1,P&B,49,New
26282,45398,KH-6056-2,AMP,50,New
26283,45399,2-1393306-6,AMP,50,New
65397,45400,VF4-11F23-Z01,AMP,0,New
26285,45401,622-2066,AMP,50,New
26286,45402,609-1054ES,AMP,50,New
24986,45403,1393436-3,SIEMENS,50,New
26287,45404,IRF340,International Rectifier(IR),50,New
61648,45405,36313,21958,50,New
63021,45406,EL4583CSCHU,65,50,New
79323,45407,XC78208ADW,MOTOROLA,50,New
24963,45408,15440720,S+T,50,New
26290,45409,OPF4016,OPTEC,50,New
100235,45410,TC58FVB160FT-10,TOSHIB,50,New
57773,45411,AP109,Unbranded,50,New
26291,45412,A18011G/WCLP,S+T,50,New
79706,45413,MT4C1M16E5DJ-6Z,MT,50,New
26292,45414,J0026D21E,PULSE JACK,52,New
65631,45415,30381,BOCSH,0,New
77527,45416,MC74HCT244ADW,MOTOROLA,52,New
79661,45417,MT48LC2M32B2TG-8D,MT,52,New
25277,45418,IRFP250N,International Rectifier(IR),52,New
26294,45419,MT58L128L32PIT6A,MT,0,New
26295,45420,LSI53C180,116,52,New
26296,45421,MC74HC245ADWR2,MOTOROLA,52,New
26297,45422,749108-4,AMP,52,New
26298,45423,BM29F040-90AC,WIN,52,New
26299,45424,P40P177I1-I1,AMP,51,New
26300,45425,MT58L64L36DT-6A,MT,52,New
79790,45426,MT4LC4M4E9DJ-6Z,MT,52,New
61649,45427,36313,21958,52,New
65780,45428,CY62128VLL-70ZC,CYPRESS,53,New
87260,45429,K4S643232C-TC80,sam,53,New
26302,45430,GM71C18163CJ6,110,53,New
101732,45431,1765XJC,XILIINX,53,New
25048,45432,VY21684C,VLC,53,New
26304,45433,MZ4624,MOTOROLA,0,New
26305,45434,M93C46MN6,ST Microelectronics,0,New
26306,45435,IRF3205,International Rectifier(IR),53,New
26307,45436,K4S161622D-TC80,sam,54,New
69117,45437,HY57V161610DTC-7,HINIX,54,New
69118,45438,HY57V161610DTC-7,HINIX,54,New
71463,45439,E28F320J3A110,Intel - Intel,54,New
26308,45440,EPM3128ATC100-5,ALTREA,54,New
26309,45441,50X721-103/037-000,22704,0,New
26023,45442,78B03S,GRAY,54,New
26310,45443,P40P44A13P1-240,P&B,54,New
26311,45444,622-1616,AMP,320,New
26312,45445,H4R09ST29BST,AMP,53,New
26313,45446,SNI4300-1BPX-11-21-S,KEPTEL INC.,54,New
79480,45447,MT28F008B3VG-10T,MT,54,New
79767,45448,MT4LC1M16E5DJ-5Z,MT,54,New
91658,45449,L4940V5,ST Microelectronics,54,New
85453,45450,OPF2416,OPTEC,54,New
26318,45451,FST-F3DF-HS18,ADC,54,New
26319,45452,PCF8576CT,PHILIPS,55,New
26320,45453,MS241C334,21020,55,New
79629,45454,MT46V8M8TG-8ESB,MT,55,New
26322,45455,SN74BCT646DW,TEXAS INTRUMENTS,0,New
24976,45456,MC145012P,MOTOROLA,55,New
24927,45457,IRFP054V,International Rectifier(IR),55,New
26323,45459,401282A000-21,AMP,55,New
26324,45460,DS1233DZ-10,DS,0,New
26325,45461,PALCE16V8H-15JC/4,Lattic,55,New
26326,45462,FU3103,International Rectifier(IR),55,New
26327,45463,VPRD-35F14-Z01,AMP,53,New
26328,45464,H2R25ST29B,AMP,55,New
26329,45465,MT46V16M8TG-75A,MT,55,New
26330,45466,MT58L128L36P1T-10A,MT,55,New
26331,45467,MT58L128V32DIT-6A,MT,55,New
24415,45468,OPF432,OPTEC,45,New
62932,45469,16MX4S4K3TW-8LDF,3,56,New
26333,45470,XCV300E,XILIINX,0,New
26334,45471,AGN200S4H,21307,56,New
26335,45472,237-016,S+T,56,New
26336,45473,V23542C1042B600,SIEMENS,56,New
26337,45474,8-6963698-2,AMP,56,New
26338,45475,OPF4129,OPTEC,56,New
26339,45476,SK-29599A,MICRO*,57,New
57774,45477,LT1587CM-1.5,Unbranded,57,New
62950,45478,355-0026-220,3 LABS,0,New
26340,45479,STI5505AVB,ST Microelectronics,57,New
26341,45480,M74HC4066B1,ST Microelectronics,57,New
26342,45481,1355721-1,AMP,57,New
26343,45482,PCB3A12A $ 67.65 EA,AMP,57,New
26344,45483,MT58L128L32PIT-10A,MT,57,New
26345,45484,B2023,PULSE JACK,58,New
26346,45485,TDA7053A,PHILIPS,58,New
67270,45486,DZ11397-H2,FOXCONN,58,New
26348,45487,CB-1036D-39,AMP,45,New
26349,45488,RCC-NB6635-P02,21830,0,New
63121,45489,EPCM-SPFCT-24M,ADC,59,New
79782,45490,MT4LC4M4E8DJ-6Z,MT,59,New
64779,45491,HFCT5903E,AGILENT,119,New
57775,45492,MT58L512L18F-10A,Unbranded,0,New
58366,45493,C1858,Unbranded,60,New
26352,45494,JCUGLMUS-155.52MHZ,6580,60,New
79685,45495,MT48LC8M16A2TG-8EB,MT,60,New
26354,45496,MT4C1M16C3DJ-6Z,MT,60,New
57777,45497,SMH4803S,Unbranded,60,New
11855,45498,HM534253BJ-7,HITACHI,60,New
26355,45499,SCIATL2000,ST Microelectronics,60,New
26356,45500,MT28F800B3SG-10B,MT,60,New
26357,45501,MBM29LV60TE-70PFTN,FUJITSU,60,New
26358,45502,24LC08B/PP7Y,21144,60,New
26359,45503,787170-7,AMP,60,New
26360,45504,LV8571AN,NSC,60,New
26361,45505,RT424006,SCHRACK,60,New
68246,45506,DF02M,GENERAL SEMI,60,New
73085,45507,GT-14106,MICRO*,55,New
26364,45508,ISP2032A-80LT44,Lattic,60,New
89199,45509,NE5532N,SIGNER,0,New
57778,45510,68WR50K,Unbranded,0,New
26366,45511,80CNQ045A,International Rectifier(IR),60,New
72745,45512,FZ44NV,International Rectifier(IR),60,New
26368,45513,IR2105,International Rectifier(IR),60,New
26369,45514,IRF1407L,International Rectifier(IR),60,New
26370,45515,PRD-70240,P&B,60,New
26371,45516,PRD-70263,P&B,60,New
26372,45517,PRD-7AG0-240,P&B,60,New
